"YearEnd","Country","HBT","DepartmentType","Age","AgeQF","Sex","SexQF","Deprivation","DeprivationQF","OneAttendance","TwoAttendances","ThreeAttendances","FourAttendances","FivePlusAttendances"
"202406","S92000003","S08000019","Minor Injury Unit or Other","65-74","","Female","","",":",18,0,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","75 plus","","Female","","1","",40,3,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","75 plus","","Female","","2","",61,3,1,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","75 plus","","Female","","3","",79,3,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","75 plus","","Female","","4","",84,4,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","75 plus","","Female","","5","",92,5,0,2,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","75 plus","","Female","","",":",7,0,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","Under 18","","Female","","1","",224,12,4,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","Under 18","","Female","","2","",233,15,3,1,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","Under 18","","Female","","3","",149,9,1,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","Under 18","","Female","","4","",171,8,2,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","Under 18","","Female","","5","",167,7,1,1,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","Under 18","","Female","","",":",46,3,1,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","18-24","","Male","","1","",92,13,1,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","18-24","","Male","","2","",112,9,1,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","18-24","","Male","","3","",77,7,0,1,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","18-24","","Male","","4","",121,11,1,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","18-24","","Male","","5","",120,5,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","18-24","","Male","","",":",21,3,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","25-39","","Male","","1","",202,13,2,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","25-39","","Male","","2","",229,16,1,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","25-39","","Male","","3","",149,11,1,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","25-39","","Male","","4","",138,6,2,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","25-39","","Male","","5","",121,3,2,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","25-39","","Male","","",":",48,0,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","40-64","","Male","","1","",202,19,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","40-64","","Male","","2","",315,22,3,1,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","40-64","","Male","","3","",200,16,0,0,1
"202406","S92000003","S08000019","Minor Injury Unit or Other","40-64","","Male","","4","",262,9,0,2,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","40-64","","Male","","5","",214,8,1,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","40-64","","Male","","",":",44,2,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","65-74","","Male","","1","",43,3,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","65-74","","Male","","2","",74,2,1,1,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","65-74","","Male","","3","",46,3,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","65-74","","Male","","4","",97,5,2,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","65-74","","Male","","5","",63,6,1,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","65-74","","Male","","",":",12,0,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","75 plus","","Male","","1","",34,2,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","75 plus","","Male","","2","",53,4,1,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","75 plus","","Male","","3","",64,3,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","75 plus","","Male","","4","",69,6,1,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","75 plus","","Male","","5","",83,6,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","75 plus","","Male","","",":",5,0,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","Under 18","","Male","","1","",280,28,1,2,1
"202406","S92000003","S08000019","Minor Injury Unit or Other","Under 18","","Male","","2","",297,22,3,1,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","Under 18","","Male","","3","",200,21,1,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","Under 18","","Male","","4","",252,14,2,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","Under 18","","Male","","5","",197,12,2,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","Under 18","","Male","","",":",64,2,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","",":","",":","",":",0,0,0,0,0
"202406","S92000003","S08000020","Emergency Department","18-24","","Female","","1","",160,28,10,2,6
"202406","S92000003","S08000020","Emergency Department","18-24","","Female","","2","",421,66,18,11,11
"202406","S92000003","S08000020","Emergency Department","18-24","","Female","","3","",472,80,32,8,18
"202406","S92000003","S08000020","Emergency Department","18-24","","Female","","4","",675,109,30,6,9
"202406","S92000003","S08000020","Emergency Department","18-24","","Female","","5","",675,106,32,3,9
"202406","S92000003","S08000020","Emergency Department","18-24","","Female","","",":",135,29,4,5,3
"202406","S92000003","S08000020","Emergency Department","25-39","","Female","","1","",293,59,19,6,10
"202406","S92000003","S08000020","Emergency Department","25-39","","Female","","2","",904,125,45,23,31
"202406","S92000003","S08000020","Emergency Department","25-39","","Female","","3","",895,154,42,13,17
"202406","S92000003","S08000020","Emergency Department","25-39","","Female","","4","",1062,173,44,17,24
"202406","S92000003","S08000020","Emergency Department","25-39","","Female","","5","",1095,118,37,7,15
"202406","S92000003","S08000020","Emergency Department","25-39","","Female","","",":",320,60,21,3,12
"202406","S92000003","S08000020","Emergency Department","40-64","","Female","","1","",424,62,17,13,7
"202406","S92000003","S08000020","Emergency Department","40-64","","Female","","2","",1252,246,76,26,35
"202406","S92000003","S08000020","Emergency Department","40-64","","Female","","3","",1488,240,71,22,28
"202406","S92000003","S08000020","Emergency Department","40-64","","Female","","4","",1966,289,73,24,22
"202406","S92000003","S08000020","Emergency Department","40-64","","Female","","5","",1947,248,53,24,16
"202406","S92000003","S08000020","Emergency Department","40-64","","Female","","",":",249,44,15,2,3
"202406","S92000003","S08000020","Emergency Department","65-74","","Female","","1","",117,23,7,3,2
"202406","S92000003","S08000020","Emergency Department","65-74","","Female","","2","",426,94,17,13,8
"202406","S92000003","S08000020","Emergency Department","65-74","","Female","","3","",592,104,23,8,8
"202406","S92000003","S08000020","Emergency Department","65-74","","Female","","4","",832,125,35,11,7
"202406","S92000003","S08000020","Emergency Department","65-74","","Female","","5","",807,105,19,12,6
"202406","S92000003","S08000020","Emergency Department","65-74","","Female","","",":",56,6,3,2,0
"202406","S92000003","S08000020","Emergency Department","75 plus","","Female","","1","",148,28,7,10,3
"202406","S92000003","S08000020","Emergency Department","75 plus","","Female","","2","",676,153,45,16,13
"202406","S92000003","S08000020","Emergency Department","75 plus","","Female","","3","",918,231,67,25,18
"202406","S92000003","S08000020","Emergency Department","75 plus","","Female","","4","",1317,289,92,29,18
"202406","S92000003","S08000020","Emergency Department","75 plus","","Female","","5","",1474,311,66,32,16
"202406","S92000003","S08000020","Emergency Department","75 plus","","Female","","",":",63,16,9,2,0
"202406","S92000003","S08000020","Emergency Department","Under 18","","Female","","1","",339,68,22,5,10
"202406","S92000003","S08000020","Emergency Department","Under 18","","Female","","2","",1030,196,51,16,14
"202406","S92000003","S08000020","Emergency Department","Under 18","","Female","","3","",1130,258,60,20,8
"202406","S92000003","S08000020","Emergency Department","Under 18","","Female","","4","",1690,311,75,19,21
"202406","S92000003","S08000020","Emergency Department","Under 18","","Female","","5","",1909,327,70,18,18
"202406","S92000003","S08000020","Emergency Department","Under 18","","Female","","",":",493,97,23,10,6
"202406","S92000003","S08000020","Emergency Department","18-24","","Male","","1","",165,44,9,6,2
"202406","S92000003","S08000020","Emergency Department","18-24","","Male","","2","",437,86,22,4,12
"202406","S92000003","S08000020","Emergency Department","18-24","","Male","","3","",461,84,26,7,7
"202406","S92000003","S08000020","Emergency Department","18-24","","Male","","4","",690,125,21,10,12
"202406","S92000003","S08000020","Emergency Department","18-24","","Male","","5","",778,92,24,7,7
"202406","S92000003","S08000020","Emergency Department","18-24","","Male","","",":",98,15,4,1,3
"202406","S92000003","S08000020","Emergency Department","25-39","","Male","","1","",395,76,21,12,11
"202406","S92000003","S08000020","Emergency Department","25-39","","Male","","2","",1005,187,45,19,16
"202406","S92000003","S08000020","Emergency Department","25-39","","Male","","3","",1012,163,26,9,14
"202406","S92000003","S08000020","Emergency Department","25-39","","Male","","4","",1211,186,42,19,21
"202406","S92000003","S08000020","Emergency Department","25-39","","Male","","5","",1249,145,40,16,19
"202406","S92000003","S08000020","Emergency Department","25-39","","Male","","",":",250,42,6,3,2
"202406","S92000003","S08000020","Emergency Department","40-64","","Male","","1","",590,132,30,16,18
"202406","S92000003","S08000020","Emergency Department","40-64","","Male","","2","",1389,268,60,22,31
"202406","S92000003","S08000020","Emergency Department","40-64","","Male","","3","",1540,229,75,30,33
"202406","S92000003","S08000020","Emergency Department","40-64","","Male","","4","",2090,281,79,22,36
"202406","S92000003","S08000020","Emergency Department","40-64","","Male","","5","",1982,248,41,12,14
"202406","S92000003","S08000020","Emergency Department","40-64","","Male","","",":",249,40,10,7,3
"202406","S92000003","S08000020","Emergency Department","65-74","","Male","","1","",144,27,6,3,7
"202406","S92000003","S08000020","Emergency Department","65-74","","Male","","2","",468,75,20,9,16
"202406","S92000003","S08000020","Emergency Department","65-74","","Male","","3","",553,139,36,8,4
"202406","S92000003","S08000020","Emergency Department","65-74","","Male","","4","",796,144,32,12,9
"202406","S92000003","S08000020","Emergency Department","65-74","","Male","","5","",853,124,37,9,10
"202406","S92000003","S08000020","Emergency Department","65-74","","Male","","",":",56,14,3,1,0
"202406","S92000003","S08000020","Emergency Department","75 plus","","Male","","1","",105,28,5,3,3
"202406","S92000003","S08000020","Emergency Department","75 plus","","Male","","2","",426,101,31,4,13
"202406","S92000003","S08000020","Emergency Department","75 plus","","Male","","3","",685,189,62,24,30
"202406","S92000003","S08000020","Emergency Department","75 plus","","Male","","4","",1043,215,71,24,20
"202406","S92000003","S08000020","Emergency Department","75 plus","","Male","","5","",1113,244,63,15,15
"202406","S92000003","S08000020","Emergency Department","75 plus","","Male","","",":",32,11,3,1,2
"202406","S92000003","S08000020","Emergency Department","Under 18","","Male","","1","",382,94,22,7,7
"202406","S92000003","S08000020","Emergency Department","Under 18","","Male","","2","",1221,279,71,22,17
"202406","S92000003","S08000020","Emergency Department","Under 18","","Male","","3","",1342,282,69,16,10
"202406","S92000003","S08000020","Emergency Department","Under 18","","Male","","4","",2123,421,85,24,16
"202406","S92000003","S08000020","Emergency Department","Under 18","","Male","","5","",2616,462,96,26,15
"202406","S92000003","S08000020","Emergency Department","Under 18","","Male","","",":",592,129,35,6,4
"202406","S92000003","S08000020","Emergency Department","",":","",":","",":",0,0,0,0,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","18-24","","Female","","1","",28,12,9,0,4
"202406","S92000003","S08000020","Minor Injury Unit or Other","18-24","","Female","","2","",79,36,15,3,3
"202406","S92000003","S08000020","Minor Injury Unit or Other","18-24","","Female","","3","",114,62,12,6,6
"202406","S92000003","S08000020","Minor Injury Unit or Other","18-24","","Female","","4","",96,44,8,0,2
"202406","S92000003","S08000020","Minor Injury Unit or Other","18-24","","Female","","5","",50,16,9,1,1
"202406","S92000003","S08000020","Minor Injury Unit or Other","18-24","","Female","","",":",15,3,0,0,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","25-39","","Female","","1","",72,35,11,3,3
"202406","S92000003","S08000020","Minor Injury Unit or Other","25-39","","Female","","2","",180,87,16,5,9
"202406","S92000003","S08000020","Minor Injury Unit or Other","25-39","","Female","","3","",300,116,33,7,10
"202406","S92000003","S08000020","Minor Injury Unit or Other","25-39","","Female","","4","",247,94,16,3,5
"202406","S92000003","S08000020","Minor Injury Unit or Other","25-39","","Female","","5","",102,50,9,1,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","25-39","","Female","","",":",57,25,8,2,1
"202406","S92000003","S08000020","Minor Injury Unit or Other","40-64","","Female","","1","",118,36,12,3,1
"202406","S92000003","S08000020","Minor Injury Unit or Other","40-64","","Female","","2","",299,119,27,8,4
"202406","S92000003","S08000020","Minor Injury Unit or Other","40-64","","Female","","3","",538,230,35,8,4
"202406","S92000003","S08000020","Minor Injury Unit or Other","40-64","","Female","","4","",424,212,42,7,4
"202406","S92000003","S08000020","Minor Injury Unit or Other","40-64","","Female","","5","",185,92,13,2,2
"202406","S92000003","S08000020","Minor Injury Unit or Other","40-64","","Female","","",":",22,10,5,0,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","65-74","","Female","","1","",19,9,1,0,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","65-74","","Female","","2","",103,33,6,1,2
"202406","S92000003","S08000020","Minor Injury Unit or Other","65-74","","Female","","3","",150,56,12,2,2
"202406","S92000003","S08000020","Minor Injury Unit or Other","65-74","","Female","","4","",134,75,11,0,2
"202406","S92000003","S08000020","Minor Injury Unit or Other","65-74","","Female","","5","",65,35,6,2,1
"202406","S92000003","S08000020","Minor Injury Unit or Other","65-74","","Female","","",":",3,0,0,0,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","75 plus","","Female","","1","",14,5,0,0,1
"202406","S92000003","S08000020","Minor Injury Unit or Other","75 plus","","Female","","2","",118,39,10,4,4
"202406","S92000003","S08000020","Minor Injury Unit or Other","75 plus","","Female","","3","",171,64,17,3,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","75 plus","","Female","","4","",140,63,12,3,4
"202406","S92000003","S08000020","Minor Injury Unit or Other","75 plus","","Female","","5","",88,26,6,4,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","75 plus","","Female","","",":",3,2,0,0,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","Under 18","","Female","","1","",72,21,7,1,1
"202406","S92000003","S08000020","Minor Injury Unit or Other","Under 18","","Female","","2","",205,80,17,8,7
"202406","S92000003","S08000020","Minor Injury Unit or Other","Under 18","","Female","","3","",410,195,36,17,8
"202406","S92000003","S08000020","Minor Injury Unit or Other","Under 18","","Female","","4","",355,137,37,5,3
"202406","S92000003","S08000020","Minor Injury Unit or Other","Under 18","","Female","","5","",153,54,13,2,1
"202406","S92000003","S08000020","Minor Injury Unit or Other","Under 18","","Female","","",":",70,22,4,3,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","18-24","","Male","","1","",40,18,4,4,2
"202406","S92000003","S08000020","Minor Injury Unit or Other","18-24","","Male","","2","",91,34,8,1,2
"202406","S92000003","S08000020","Minor Injury Unit or Other","18-24","","Male","","3","",128,64,20,5,1
"202406","S92000003","S08000020","Minor Injury Unit or Other","18-24","","Male","","4","",131,56,11,2,2
"202406","S92000003","S08000020","Minor Injury Unit or Other","18-24","","Male","","5","",41,23,3,0,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","18-24","","Male","","",":",4,1,0,0,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","25-39","","Male","","1","",106,33,9,7,2
"202406","S92000003","S08000020","Minor Injury Unit or Other","25-39","","Male","","2","",187,77,12,2,3
"202406","S92000003","S08000020","Minor Injury Unit or Other","25-39","","Male","","3","",285,133,22,7,6
"202406","S92000003","S08000020","Minor Injury Unit or Other","25-39","","Male","","4","",199,114,17,8,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","25-39","","Male","","5","",77,46,5,3,1
"202406","S92000003","S08000020","Minor Injury Unit or Other","25-39","","Male","","",":",28,13,2,1,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","40-64","","Male","","1","",132,35,12,0,4
"202406","S92000003","S08000020","Minor Injury Unit or Other","40-64","","Male","","2","",260,92,13,5,4
"202406","S92000003","S08000020","Minor Injury Unit or Other","40-64","","Male","","3","",444,177,29,12,5
"202406","S92000003","S08000020","Minor Injury Unit or Other","40-64","","Male","","4","",349,174,15,5,2
"202406","S92000003","S08000020","Minor Injury Unit or Other","40-64","","Male","","5","",196,67,7,3,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","40-64","","Male","","",":",24,11,1,0,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","65-74","","Male","","1","",24,6,1,1,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","65-74","","Male","","2","",85,29,6,1,1
"202406","S92000003","S08000020","Minor Injury Unit or Other","65-74","","Male","","3","",149,65,9,0,2
"202406","S92000003","S08000020","Minor Injury Unit or Other","65-74","","Male","","4","",152,40,7,1,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","65-74","","Male","","5","",64,21,3,0,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","65-74","","Male","","",":",6,0,1,0,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","75 plus","","Male","","1","",12,2,2,0,1
"202406","S92000003","S08000020","Minor Injury Unit or Other","75 plus","","Male","","2","",98,25,6,1,2
"202406","S92000003","S08000020","Minor Injury Unit or Other","75 plus","","Male","","3","",175,46,10,5,6
"202406","S92000003","S08000020","Minor Injury Unit or Other","75 plus","","Male","","4","",165,46,8,4,4
"202406","S92000003","S08000020","Minor Injury Unit or Other","75 plus","","Male","","5","",47,23,8,3,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","75 plus","","Male","","",":",0,1,0,0,0
"202406","S92000003","S08000020","Minor Injury Unit or Other","Under 18","","Male","","1","",87,27,11,5,4
"202406","S92000003","S08000020","Minor Injury Unit or Other","Under 18","","Male","","2","",247,120,29,8,6
"202406","S92000003","S08000020","Minor Injury Unit or Other","Under 18","","Male","","3","",479,228,50,11,11
"202406","S92000003","S08000020","Minor Injury Unit or Other","Under 18","","Male","","4","",451,191,31,19,4
"202406","S92000003","S08000020","Minor Injury Unit or Other","Under 18","","Male","","5","",157,80,12,6,1
"202406","S92000003","S08000020","Minor Injury Unit or Other","Under 18","","Male","","",":",74,34,6,4,1
"202406","S92000003","S08000020","Minor Injury Unit or Other","",":","",":","",":",0,0,0,0,0
"202406","S92000003","S08000022","Emergency Department","18-24","","Female","","1","",131,45,12,4,8
"202406","S92000003","S08000022","Emergency Department","18-24","","Female","","2","",243,52,17,13,12
"202406","S92000003","S08000022","Emergency Department","18-24","","Female","","3","",279,55,20,14,8
"202406","S92000003","S08000022","Emergency Department","18-24","","Female","","4","",304,50,20,9,8
"202406","S92000003","S08000022","Emergency Department","18-24","","Female","","5","",112,15,2,2,1
"202406","S92000003","S08000022","Emergency Department","18-24","","Female","","",":",81,14,5,5,4
"202406","S92000003","S08000022","Emergency Department","25-39","","Female","","1","",299,70,31,9,13
"202406","S92000003","S08000022","Emergency Department","25-39","","Female","","2","",534,113,26,18,18
"202406","S92000003","S08000022","Emergency Department","25-39","","Female","","3","",701,118,35,11,22
"202406","S92000003","S08000022","Emergency Department","25-39","","Female","","4","",647,149,26,10,11
"202406","S92000003","S08000022","Emergency Department","25-39","","Female","","5","",213,44,5,0,6
"202406","S92000003","S08000022","Emergency Department","25-39","","Female","","",":",220,52,17,6,11
"202406","S92000003","S08000022","Emergency Department","40-64","","Female","","1","",414,90,35,11,9
"202406","S92000003","S08000022","Emergency Department","40-64","","Female","","2","",896,190,59,17,30
"202406","S92000003","S08000022","Emergency Department","40-64","","Female","","3","",1385,247,63,19,20
"202406","S92000003","S08000022","Emergency Department","40-64","","Female","","4","",1491,231,67,22,19
"202406","S92000003","S08000022","Emergency Department","40-64","","Female","","5","",472,51,13,4,2
"202406","S92000003","S08000022","Emergency Department","40-64","","Female","","",":",215,55,9,2,6
"202406","S92000003","S08000022","Emergency Department","65-74","","Female","","1","",122,25,14,1,8
"202406","S92000003","S08000022","Emergency Department","65-74","","Female","","2","",340,95,15,4,13
"202406","S92000003","S08000022","Emergency Department","65-74","","Female","","3","",545,120,32,14,9
"202406","S92000003","S08000022","Emergency Department","65-74","","Female","","4","",587,100,34,14,4
"202406","S92000003","S08000022","Emergency Department","65-74","","Female","","5","",199,32,13,0,1
"202406","S92000003","S08000022","Emergency Department","65-74","","Female","","",":",36,7,1,1,2
"202406","S92000003","S08000022","Emergency Department","75 plus","","Female","","1","",159,52,16,7,4
"202406","S92000003","S08000022","Emergency Department","75 plus","","Female","","2","",508,154,46,18,16
"202406","S92000003","S08000022","Emergency Department","75 plus","","Female","","3","",918,227,70,43,31
"202406","S92000003","S08000022","Emergency Department","75 plus","","Female","","4","",974,218,77,32,24
"202406","S92000003","S08000022","Emergency Department","75 plus","","Female","","5","",273,52,8,4,5
"202406","S92000003","S08000022","Emergency Department","75 plus","","Female","","",":",49,13,6,3,0
"202406","S92000003","S08000022","Emergency Department","Under 18","","Female","","1","",255,59,12,11,6
"202406","S92000003","S08000022","Emergency Department","Under 18","","Female","","2","",513,129,30,5,10
"202406","S92000003","S08000022","Emergency Department","Under 18","","Female","","3","",699,128,35,14,13
"202406","S92000003","S08000022","Emergency Department","Under 18","","Female","","4","",839,172,35,12,7
"202406","S92000003","S08000022","Emergency Department","Under 18","","Female","","5","",290,54,12,7,1
"202406","S92000003","S08000022","Emergency Department","Under 18","","Female","","",":",270,47,25,5,3
"202406","S92000003","S08000022","Emergency Department","18-24","","Male","","1","",145,27,20,5,2
"202406","S92000003","S08000022","Emergency Department","18-24","","Male","","2","",254,48,12,7,9
"202406","S92000003","S08000022","Emergency Department","18-24","","Male","","3","",379,84,21,11,9
"202406","S92000003","S08000022","Emergency Department","18-24","","Male","","4","",392,80,21,4,4
"202406","S92000003","S08000022","Emergency Department","18-24","","Male","","5","",183,18,7,1,0
"202406","S92000003","S08000022","Emergency Department","18-24","","Male","","",":",57,12,4,5,2
"202406","S92000003","S08000022","Emergency Department","25-39","","Male","","1","",377,89,33,13,12
"202406","S92000003","S08000022","Emergency Department","25-39","","Male","","2","",598,136,37,17,15
"202406","S92000003","S08000022","Emergency Department","25-39","","Male","","3","",819,128,56,16,13
"202406","S92000003","S08000022","Emergency Department","25-39","","Male","","4","",800,124,29,13,8
"202406","S92000003","S08000022","Emergency Department","25-39","","Male","","5","",299,46,11,2,4
"202406","S92000003","S08000022","Emergency Department","25-39","","Male","","",":",193,32,12,4,6
"202406","S92000003","S08000022","Emergency Department","40-64","","Male","","1","",511,130,33,19,34
"202406","S92000003","S08000022","Emergency Department","40-64","","Male","","2","",1009,200,55,27,27
"202406","S92000003","S08000022","Emergency Department","40-64","","Male","","3","",1438,269,72,35,30
"202406","S92000003","S08000022","Emergency Department","40-64","","Male","","4","",1461,272,58,17,19
"202406","S92000003","S08000022","Emergency Department","40-64","","Male","","5","",456,61,17,7,5
"202406","S92000003","S08000022","Emergency Department","40-64","","Male","","",":",166,38,10,8,4
"202406","S92000003","S08000022","Emergency Department","65-74","","Male","","1","",117,39,14,4,6
"202406","S92000003","S08000022","Emergency Department","65-74","","Male","","2","",346,73,27,9,18
"202406","S92000003","S08000022","Emergency Department","65-74","","Male","","3","",633,136,31,10,14
"202406","S92000003","S08000022","Emergency Department","65-74","","Male","","4","",636,110,37,13,14
"202406","S92000003","S08000022","Emergency Department","65-74","","Male","","5","",179,33,11,1,2
"202406","S92000003","S08000022","Emergency Department","65-74","","Male","","",":",36,5,2,1,2
"202406","S92000003","S08000022","Emergency Department","75 plus","","Male","","1","",99,37,7,6,8
"202406","S92000003","S08000022","Emergency Department","75 plus","","Male","","2","",349,119,32,12,23
"202406","S92000003","S08000022","Emergency Department","75 plus","","Male","","3","",751,192,61,28,33
"202406","S92000003","S08000022","Emergency Department","75 plus","","Male","","4","",751,180,72,22,11
"202406","S92000003","S08000022","Emergency Department","75 plus","","Male","","5","",214,58,10,6,5
"202406","S92000003","S08000022","Emergency Department","75 plus","","Male","","",":",35,5,4,1,1
"202406","S92000003","S08000022","Emergency Department","Under 18","","Male","","1","",316,72,22,6,8
"202406","S92000003","S08000022","Emergency Department","Under 18","","Male","","2","",697,131,42,12,7
"202406","S92000003","S08000022","Emergency Department","Under 18","","Male","","3","",914,161,44,18,10
"202406","S92000003","S08000022","Emergency Department","Under 18","","Male","","4","",1037,206,50,17,4
"202406","S92000003","S08000022","Emergency Department","Under 18","","Male","","5","",379,71,21,3,3
"202406","S92000003","S08000022","Emergency Department","Under 18","","Male","","",":",328,81,18,2,2
"202406","S92000003","S08000022","Emergency Department","",":","",":","",":",0,0,0,0,1
"202406","S92000003","S08000022","Minor Injury Unit or Other","18-24","","Female","","1","",16,4,2,0,2
"202406","S92000003","S08000022","Minor Injury Unit or Other","18-24","","Female","","2","",13,3,0,1,1
"202406","S92000003","S08000022","Minor Injury Unit or Other","18-24","","Female","","3","",25,10,2,1,1
"202406","S92000003","S08000022","Minor Injury Unit or Other","18-24","","Female","","4","",2,3,1,0,0
"202406","S92000003","S08000022","Minor Injury Unit or Other","18-24","","Female","","5","",2,0,0,0,0
"202406","S92000003","S08000022","Minor Injury Unit or Other","25-39","","Female","","1","",29,12,2,1,1
"202406","S92000003","S08000022","Minor Injury Unit or Other","25-39","","Female","","2","",33,7,6,1,2
"202406","S92000003","S08000022","Minor Injury Unit or Other","25-39","","Female","","3","",60,23,1,1,3
"202406","S92000003","S08000022","Minor Injury Unit or Other","25-39","","Female","","4","",11,3,1,2,0
"202406","S92000003","S08000022","Minor Injury Unit or Other","25-39","","Female","","",":",1,0,0,0,0
"202406","S92000003","S08000022","Minor Injury Unit or Other","40-64","","Female","","1","",34,13,6,0,6
"202406","S92000003","S08000022","Minor Injury Unit or Other","40-64","","Female","","2","",41,8,3,1,6
"202406","S92000003","S08000022","Minor Injury Unit or Other","40-64","","Female","","3","",128,33,9,6,6
"202406","S92000003","S08000022","Minor Injury Unit or Other","40-64","","Female","","4","",24,7,1,0,1
"202406","S92000003","S08000022","Minor Injury Unit or Other","40-64","","Female","","5","",7,2,0,0,0
"202406","S92000003","S08000022","Minor Injury Unit or Other","65-74","","Female","","1","",15,2,4,1,1
"202406","S92000003","S08000022","Minor Injury Unit or Other","65-74","","Female","","2","",21,3,2,0,1
"202406","S92000003","S08000022","Minor Injury Unit or Other","65-74","","Female","","3","",68,18,2,0,4
"202406","S92000003","S08000022","Minor Injury Unit or Other","65-74","","Female","","4","",12,3,1,0,1
"202406","S92000003","S08000022","Minor Injury Unit or Other","65-74","","Female","","5","",2,0,0,0,0
"202406","S92000003","S08000022","Minor Injury Unit or Other","65-74","","Female","","",":",1,1,0,0,0
"202406","S92000003","S08000022","Minor Injury Unit or Other","75 plus","","Female","","1","",23,13,1,1,1
"202406","S92000003","S08000022","Minor Injury Unit or Other","75 plus","","Female","","2","",26,15,7,3,4
"202406","S92000003","S08000022","Minor Injury Unit or Other","75 plus","","Female","","3","",81,23,13,3,6
"202406","S92000003","S08000022","Minor Injury Unit or Other","75 plus","","Female","","4","",20,10,2,3,0
"202406","S92000003","S08000022","Minor Injury Unit or Other","75 plus","","Female","","5","",1,1,0,0,0
"202406","S92000003","S08000022","Minor Injury Unit or Other","75 plus","","Female","","",":",1,0,0,0,0
"202406","S92000003","S08000022","Minor Injury Unit or Other","Under 18","","Female","","1","",22,10,2,3,2
"202406","S92000003","S08000022","Minor Injury Unit or Other","Under 18","","Female","","2","",25,8,5,1,1
"202406","S92000003","S08000022","Minor Injury Unit or Other","Under 18","","Female","","3","",59,21,11,7,7
